@relation 'fin_table-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,7,8,9,10,6'

@attribute crop numeric
@attribute state {Orissa,'Andhra Pradesh',Rajasthan,Chhattisgarh,Gujarat,Haryana,'Madhya Pradesh','Tamil Nadu','Uttar Pradesh','Himachal Pradesh',Uttarakhand,Punjab,'Telangana ','Arunachal Pradesh','Jammu and Kashmir ',Kerala,Meghalaya}
@attribute district numeric
@attribute season numeric
@attribute year numeric
@attribute total_cost numeric
@attribute temp numeric
@attribute rainfall numeric
@attribute yield_ton_hect numeric

@data
12,Orissa,238,0,2014,24694.3,15.065,10.9,0.196552
3,'Madhya Pradesh',89,1,2013,34001.394,23.0075,271.33,0.196787
3,'Madhya Pradesh',88,0,2012,21823.943,14.92,1.55,0.19697
13,'Madhya Pradesh',82,0,2012,21223.12,14.92,1.55,0.19697
3,Chhattisgarh,28,1,2012,25981.465,22.51,284.48,0.197674
12,'Uttar Pradesh',157,1,2013,13498.961,23.0075,162.93,0.197691
12,'Andhra Pradesh',11,1,2013,27358.5,23.0075,207.25,0.197791
7,'Uttar Pradesh',156,1,2013,38779.6,23.0075,162.93,0.19788
12,'Uttar Pradesh',174,1,2013,2907.388,23.0075,162.93,0.197959
12,'Uttar Pradesh',186,1,2013,29971.165,23.0075,162.93,0.198064
4,'Madhya Pradesh',102,0,2013,20336.1,15.305,10.93,0.198347
4,Chhattisgarh,28,1,2012,20480.73,22.51,284.48,0.198762
12,'Uttar Pradesh',199,1,2013,38075.191,23.0075,162.93,0.198767
12,Rajasthan,199,1,2013,77081.462,23.0075,77.88,0.198767
12,'Uttar Pradesh',158,1,2013,13292.598,23.0075,162.93,0.199374
3,Chhattisgarh,29,0,2012,16666.091,14.92,11.88,0.199488
3,Orissa,238,0,2012,15277.9,14.92,14.6,0.2
5,Orissa,130,0,2013,47374.9,15.305,3.3,0.2
3,Orissa,124,1,2013,16405.6,23.0075,308.5,0.2
12,Orissa,122,1,2013,15886.1,23.0075,308.5,0.2
3,Orissa,132,2,2013,16405.6,23.605,278.9,0.2
4,Orissa,131,0,2014,21957.6,15.065,10.9,0.2
4,Orissa,126,1,2014,21957.6,22.7575,318.85,0.2
4,'Madhya Pradesh',65,0,2012,20158,14.92,1.55,0.2
4,'Madhya Pradesh',99,0,2012,20158,14.92,1.55,0.2
4,'Madhya Pradesh',91,0,2013,20336.1,15.305,10.93,0.2
16,Orissa,125,0,2013,22986.618,15.305,3.3,0.2
9,Orissa,120,1,2014,32052.569,22.7575,318.85,0.2
19,Chhattisgarh,27,1,2012,16611.743,22.51,284.48,0.2
